DayOfYear,Hist_Avg_Rainfall,Hist_Avg_Inflow,Hist_Avg_Storage
1,0.039,342200.0,1.4816790076943829
2,0.08399999999999999,730800.0,1.472548845945376
3,0.023,203000.0,1.473070282107379
4,0.344,2992800.0,1.4676431031379558
5,0.246,2140200.0,1.462366093882455
6,0.197,1708100.0,1.2851399588438475
7,0.28600000000000003,2502700.0,1.280528166150385
8,0.399,3465500.0,1.276082704358048
9,0.258,2235900.0,1.272729
10,0.21200000000000002,1847300.0,1.268678240952028
11,0.043000000000000003,374100.0,1.2649091757762057
12,0.023,205900.0,1.4303132793376567
13,0.05500000000000001,481400.0,1.4261948330168874
14,0.085,736600.0,1.4217179415875143
15,0.005,43500.0,1.416993692343
16,0.006,58000.0,1.4036797665337828
17,0.006,55100.0,1.4034341898522948
18,0.003,23200.0,1.4025984832432166
19,0.008,72500.0,1.3976620140529472
20,0.002,17400.0,1.3924780117841808
21,0.003,23200.0,1.3867511215508022
22,0.064,559700.0,1.3815683100953777
23,0.034999999999999996,310300.0,1.3763852937573042
24,0.053000000000000005,458200.0,1.3704450725364898
25,0.077,672800.0,1.3646281789796475
26,0.125,1099100.0,1.3587418267439522
27,0.006,49300.0,1.3555390697035032
28,0.022,188500.0,1.3495218028064913
29,0.011,98600.0,1.343625002830937
30,0.002,17400.0,1.338316
31,0.003,29000.0,1.3310234692222138
32,0.013000000000000001,116000.0,1.324716443320665
33,0.004,34800.0,1.3179690628738454
34,0.008,69600.0,1.310292041264462
35,0.004,31900.0,1.3039977675421057
36,0.004,37700.0,1.2960224219895187
37,0.005,46400.0,1.292447
38,0.022,191400.0,1.282404579870932
39,0.051000000000000004,440800.0,1.276776378322686
40,0.001,8700.0,1.270035502512893
41,0.08499999999999999,748200.0,1.2636447160544626
42,0.182,1589200.0,1.2570284045585798
43,0.051000000000000004,446600.0,1.249844610216103
44,0.122,1061400.0,1.2450189999999999
45,0.012,101500.0,1.2374230050795316
46,0.001,14500.0,1.2315485251867337
47,0.0,0.0,1.2253474117041432
48,0.005,40600.0,1.221246088146115
49,0.11699999999999999,1020800.0,1.2139211309982483
50,0.284,2473700.0,1.2094144503996995
51,0.005,40600.0,1.2034380437042862
52,0.016,145000.0,1.1827845880155212
53,0.006,55100.0,1.165015032505046
54,0.0,5800.0,1.1426804288553445
55,0.002,17400.0,1.1234720180354407
56,0.0,0.0,1.1050570769597428
57,0.023,203000.0,1.0884971409314868
58,0.042,368300.0,1.147308
59,0.16599999999999998,1450000.0,1.0777351740063454
60,0.23699999999999996,2061900.0,1.0801549301274378
61,0.20099999999999998,1754500.0,1.084853969481744
